release,distributor,seasons,adjusted_gross
The Smurfs and the Magic Flute,Atlantic Releasing Corporation,fall,22649091
The Social Network,Sony Pictures Entertainment (SPE),fall,128169269
The Soloist,DreamWorks,spring,45042624
The Song of Names,Sony Pictures Classics,holiday season,1140694
The Sorcerer's Apprentice,Walt Disney Studios Motion Pictures,summer,87148367
The Specialist,Warner Bros.,fall,117593293
The Spiderwick Chronicles,Paramount Pictures,winter,101096975
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,winter,208632360
The SpongeBob Movie: Sponge on the Run,Paramount Pictures,summer,5088478
The SpongeBob SquarePants Movie,Paramount Pictures,holiday season,131392267
The Spy Who Dumped Me,Lionsgate,summer,40610103
The Star,Sony Pictures Entertainment (SPE),holiday season,49155657
The Stepfather,Screen Gems,fall,41268836
The Stepford Wives,Paramount Pictures,summer,96365282
The Sting II,Universal Pictures,winter,19422040
The Story of Us,Universal Pictures,fall,49322056
The Strangers,Rogue Pictures,summer,74688606
The Suicide Squad,Warner Bros.,summer,63626435
The Sum of All Fears,Paramount Pictures,summer,200952890
The Sure Thing,Metro-Goldwyn-Mayer (MGM),winter,47722686
The Survivors,Columbia Pictures,summer,42840000
The Sword and the Sorcerer,-,spring,123957857
The Sword in the Stone,Walt Disney Studios Motion Pictures,spring,36720000
The Taking of Pelham 123,Sony Pictures Entertainment (SPE),summer,92942283
The Tale of Despereaux,Universal Pictures,holiday season,48307533
The Talented Mr. Ripley,Paramount Pictures,holiday season,145375559
The Tax Collector,RLJE Films,summer,1211285
The Terminal,DreamWorks Distribution,summer,126154070
The Terminator,Orion Pictures,fall,99973541
The Texas Chainsaw Massacre,New Line Cinema,fall,132389304
The Texas Chainsaw Massacre 2,Cannon Film Distributors,summer,21910630
The Texas Chainsaw Massacre: The Beginning,New Line Cinema,fall,59653853
The Thin Red Line,Twentieth Century Fox,holiday season,65075353
The Thing,Universal Pictures,summer,62226339
The Thomas Crown Affair,Metro-Goldwyn-Mayer (MGM),summer,126135429
The Three Musketeers,Walt Disney Studios Motion Pictures,holiday season,100164044
The Three Stooges,Twentieth Century Fox,spring,58526455
The Tigger Movie,Walt Disney Studios Motion Pictures,winter,80631523
The Time Machine,DreamWorks Distribution,spring,96046914
The Time Traveler's Wife,Warner Bros.,summer,90049081
The Tourist,Sony Pictures Entertainment (SPE),holiday season,68954411
The Town,Warner Bros.,fall,127173951
The Toy,Columbia Pictures,holiday season,147058429
The Truman Show,Paramount Pictures,summer,232393671
The Truth About Cats & Dogs,Twentieth Century Fox,spring,67631905
The Turning,Universal Pictures,winter,17948419
The Tuxedo,DreamWorks Distribution,fall,85259837
The Twilight Saga: Breaking Dawn - Part 1,Summit Entertainment,holiday season,373785057
The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,holiday season,378078218
The Twilight Saga: Eclipse,Summit Entertainment,summer,414733816
The Twilight Saga: New Moon,Summit Entertainment,holiday season,404007596
The Ugly Truth,Sony Pictures Entertainment (SPE),summer,126259603
The Unbearable Lightness of Being,Orion Pictures,winter,25917627
The Unbearable Weight of Massive Talent,Lionsgate,spring,21518166
The Unborn,Universal Pictures,winter,60591982
The Unholy,Screen Gems,spring,17706636
The Uninvited,DreamWorks,winter,40607481
The Untouchables,Paramount Pictures,summer,205167521
The Upside,STX Entertainment,winter,128820495
The Usual Suspects,Gramercy Pictures (I),summer,46449720
The Vanishing,Twentieth Century Fox,winter,30541127
The Verdict,Twentieth Century Fox,holiday season,166559836
The Village,Walt Disney Studios Motion Pictures,summer,184999982
The Visit,Universal Pictures,fall,83463814
The Vow,Screen Gems,winter,165018519
The War,Universal Pictures,holiday season,34703539
The War of the Roses,Twentieth Century Fox,holiday season,208864547
The War with Grandpa,101 Studios,fall,21694545
The Watch,Twentieth Century Fox,summer,46665960
The Watcher,Universal Pictures,fall,51235508
The Waterboy,Walt Disney Studios Motion Pictures,holiday season,273606547
The Wedding Date,Universal Pictures,winter,49811382
The Wedding Planner,Sony Pictures Entertainment (SPE),winter,103285463
The Wedding Ringer,Screen Gems,winter,82509070
The Wedding Singer,New Line Cinema,winter,148454591
The Whale,A24,holiday season,5654247
The Whole Nine Yards,Warner Bros.,winter,101354610
The Wild,Walt Disney Studios Motion Pictures,spring,56449909
The Wild Life,Universal Pictures,fall,32399902
The Witches of Eastwick,Warner Bros.,summer,171531911
The Wolf of Wall Street,Paramount Pictures,holiday season,150461866
The Wolfman,Universal Pictures,winter,85531958
The Wolverine,Twentieth Century Fox,summer,172323907
The Woman King,TriStar Pictures,fall,71208964
The Woman in Black,CBS Films,winter,71719942
The Woman in Black 2: Angel of Death,Relativity Media,holiday season,33921693
The Woman in Red,Orion Pictures,summer,74405952
The Wood,Paramount Pictures,summer,45608544
The World According to Garp,Warner Bros.,summer,94187585
The World Is Not Enough,Metro-Goldwyn-Mayer (MGM),holiday season,210352265
The Wretched,IFC Films,spring,2102727
The X Files,Twentieth Century Fox,summer,155211879
The Year of Living Dangerously,Warner Bros.,winter,31452439
Thelma & Louise,Metro-Goldwyn-Mayer (MGM),summer,100701231
There Will Be Blood,Paramount Vantage,holiday season,56599778
There's Something About Mary,Twentieth Century Fox,summer,322682078
They Call Me Bruce,-,holiday season,35700150
They Live,Universal Pictures,holiday season,33693123
Thief of Hearts,Paramount Pictures,fall,30678944
Things Are Tough All Over,Columbia Pictures,summer,66995965
Think Like a Man,Screen Gems,spring,120842310
Think Like a Man Too,Screen Gems,summer,83433192
Thir13en Ghosts,Warner Bros.,fall,71594211
Thirteen Days,New Line Cinema,holiday season,58708600
This Christmas,Screen Gems,holiday season,72283627
This Is 40,Universal Pictures,holiday season,88586895
This Is Elvis,Warner Bros.,spring,6978425
This Is It,Sony Pictures Entertainment (SPE),fall,102369242
This Is Where I Leave You,Warner Bros.,fall,43899289
This Is the End,Sony Pictures Entertainment (SPE),summer,131911262
This Means War,Twentieth Century Fox,winter,72284244
Thor,Paramount Pictures,summer,246201648
Thor: Love and Thunder,Walt Disney Studios Motion Pictures,summer,363852239
Thor: Ragnarok,Walt Disney Studios Motion Pictures,holiday season,382806934
Thor: The Dark World,Walt Disney Studios Motion Pictures,holiday season,263447251
"Those Lips, Those Eyes",Metro-Goldwyn-Mayer (MGM),summer,3098145
Those Who Wish Me Dead,Warner Bros.,summer,7813115
Three Amigos!,Orion Pictures,holiday season,106506295
"Three Billboards Outside Ebbing, Missouri",-,holiday season,66444917
Three Fugitives,Walt Disney Studios Motion Pictures,winter,100249608
Three Kings,Warner Bros.,fall,107310239
Three Men and a Baby,Walt Disney Studios Motion Pictures,holiday season,424925091
Three Men and a Little Lady,Walt Disney Studios Motion Pictures,holiday season,165679208
Three Thousand Years of Longing,United Artists Releasing,summer,8783945
Threesome,TriStar Pictures,spring,30371399
Throw Momma from the Train,Orion Pictures,holiday season,153073893
Thunderheart,TriStar Pictures,spring,49173844
Ticket to Paradise,Universal Pictures,fall,72298105
Tightrope,Warner Bros.,summer,141542122
Till,United Artists Releasing,fall,9540214
Time Bandits,Embassy Pictures,holiday season,136808871
Timecop,Universal Pictures,fall,91949841
Tin Cup,Warner Bros.,summer,104477900
Tin Men,Walt Disney Studios Motion Pictures,spring,68356628
Titan A.E.,Twentieth Century Fox,summer,40273564
Titanic,Paramount Pictures,holiday season,1114641480
Titanic2012 3D Release,Paramount Pictures,spring,76407030
To Be or Not to Be,Twentieth Century Fox,holiday season,22300170
To Die For,Sony Pictures Entertainment (SPE),fall,42356182
To Live and Die in L.A.,Metro-Goldwyn-Mayer (MGM),fall,49151933
"To Wong Foo, Thanks for Everything! Julie Newmar",Universal Pictures,fall,72583644
Tom & Jerry,Warner Bros.,winter,52803022
Tomb Raider,Warner Bros.,spring,70483471
Tomboy,Crown,winter,40044000
Tombstone,Walt Disney Studios Motion Pictures,holiday season,116642299
Tommy Boy,Paramount Pictures,spring,65032999
Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),holiday season,233461079
Tomorrowland,Walt Disney Studios Motion Pictures,summer,119598492
Tooth Fairy,Twentieth Century Fox,winter,82830713
Tootsie,Columbia Pictures,holiday season,545635464
Top Gun,Paramount Pictures,summer,482614117
Top Gun: Maverick,Paramount Pictures,summer,761417674
Top Secret!,Paramount Pictures,summer,60147519
Total Recall,Sony Pictures Entertainment (SPE),summer,358296793
Tough Guys,Walt Disney Studios Motion Pictures,fall,58580965
Tower Heist,Universal Pictures,holiday season,104244571
Toy Soldiers,TriStar Pictures,spring,33464151
Toy Story,Walt Disney Studios Motion Pictures,holiday season,379394626
Toy Story 2,Walt Disney Studios Motion Pictures,holiday season,445150509
Toy Story 3,Walt Disney Studios Motion Pictures,summer,572706734
Toy Story 4,Walt Disney Studios Motion Pictures,summer,516505229
Toy Story2009 Re-release,Walt Disney Studios Motion Pictures,fall,43597473
Toys,Twentieth Century Fox,holiday season,32903803
Trading Places,Paramount Pictures,summer,276638688
Traffic,USA Films,holiday season,211735219
Training Day,Warner Bros.,fall,131040560
Trainwreck,Universal Pictures,summer,141072256
Transformers,DreamWorks,summer,472484365
Transformers: Age of Extinction,Paramount Pictures,summer,314162017
Transformers: Dark of the Moon,DreamWorks,summer,479251138
Transformers: Revenge of the Fallen,DreamWorks,summer,570998855
Transformers: The Last Knight,Paramount Pictures,summer,160107480
Transporter 2,Twentieth Century Fox,summer,67660493
Transporter 3,Lionsgate,holiday season,44979396
Treasure Planet,Walt Disney Studios Motion Pictures,holiday season,57066258
Tremors,Universal Pictures,winter,39167647
Trick or Treat,De Laurentiis Entertainment Group (DEG),fall,18556405
Trolls,Twentieth Century Fox,holiday season,189164167
Tron,Walt Disney Studios Motion Pictures,summer,94337494
Troop Beverly Hills,Columbia Pictures,spring,21016842
Tropic Thunder,DreamWorks,summer,156931744
Trouble with the Curve,Warner Bros.,fall,47207340
Troy,Warner Bros.,summer,216072774
True Believer,Columbia Pictures,winter,21594592
True Grit,Paramount Pictures,holiday season,234298888
True Lies,Twentieth Century Fox,summer,299878942
True to the Game 2,Faith Media Distribution,holiday season,1393010
Truth or Dare,Universal Pictures,spring,50107328
Tucker: The Man and His Dream,Paramount Pictures,summer,50900332
Turbo,Twentieth Century Fox,summer,107936566
Turner & Hooch,Walt Disney Studios Motion Pictures,summer,175567390
Twilight,Summit Entertainment,holiday season,242355625
Twilight Zone: The Movie,Warner Bros.,summer,90119812
Twins,Universal Pictures,holiday season,282233002
Twister,Warner Bros.,summer,468939756
Two Can Play That Game,Screen Gems,fall,38023390
Two Weeks Notice,Warner Bros.,holiday season,156043556
Two of a Kind,Twentieth Century Fox,holiday season,70943491
Tár,Focus Features,fall,5914561
U-571,Universal Pictures,spring,136506674
U.S. Marshals,Warner Bros.,spring,105759699
Unbreakable,Walt Disney Studios Motion Pictures,holiday season,156299630
Unbroken,Universal Pictures,holiday season,148016504
Uncharted,Sony Pictures Entertainment (SPE),winter,157568924
Uncle Buck,Universal Pictures,summer,164893588
Uncle Drew,Lionsgate,summer,51388634
Uncommon Valor,Paramount Pictures,holiday season,91023144
Uncut Gems,A24,holiday season,59967559
Under Fire,Orion Pictures,fall,17430956
Under Siege,Warner Bros.,fall,181332011
Under Siege 2: Dark Territory,Warner Bros.,summer,99547925
Under the Cherry Moon,Warner Bros.,summer,27546871
Under the Rainbow,Warner Bros.,summer,64763125
Under the Tuscan Sun,Walt Disney Studios Motion Pictures,fall,71247541
Undercover Brother,Universal Pictures,summer,66061978
Underdog,Walt Disney Studios Motion Pictures,summer,64765695
Underwater,Twentieth Century Fox,winter,20057650
Underworld,Screen Gems,fall,85455427
Underworld: Awakening,Screen Gems,winter,82263771
Underworld: Blood Wars,Screen Gems,winter,37335386
Underworld: Evolution,Screen Gems,winter,94101501
Underworld: Rise of the Lycans,Screen Gems,winter,65039287
Unfaithful,Twentieth Century Fox,summer,89191042
Unfaithfully Yours,Twentieth Century Fox,winter,58588908
Unforgiven,Warner Bros.,summer,217681582
Unfriended,Universal Pictures,spring,41577075
Unhinged,Solstice Studios,summer,24164499
United 93,Universal Pictures,spring,47540009
Universal Soldier,TriStar Pictures,summer,78770778
Unknown,Warner Bros.,winter,86613499
Unlawful Entry,Twentieth Century Fox,summer,123991020
Unstoppable,Twentieth Century Fox,holiday season,109164564
Untamed Heart,Metro-Goldwyn-Mayer (MGM),winter,39687492
Up,Walt Disney Studios Motion Pictures,summer,416065912
Up Close & Personal,Walt Disney Studios Motion Pictures,winter,99112087
Up in the Air,Paramount Pictures,holiday season,117022473
Up the Creek,Orion Pictures,spring,34422310
Uptown Girls,Metro-Goldwyn-Mayer (MGM),summer,61351115
Urban Legend,Sony Pictures Entertainment (SPE),fall,69386956
Us,Universal Pictures,spring,208350650
Used People,Twentieth Century Fox,holiday season,36359013
V for Vendetta,Warner Bros.,spring,106471662
Vacation,Warner Bros.,summer,75371760
Valentine,Warner Bros.,winter,34856872
Valentine's Day,Warner Bros.,winter,152470202
Valerian and the City of a Thousand Planets,STX Entertainment,summer,49789625
Valkyrie,United Artists,holiday season,117970522
Valley Girl,Atlantic Releasing Corporation,spring,53071403
Vampire in Brooklyn,Paramount Pictures,fall,39305954
Vampires,Sony Pictures Entertainment (SPE),fall,34179197
Vampires Suck,Twentieth Century Fox,summer,50592875
Van Helsing,Universal Pictures,summer,194686876
Vanguard,Gravitas Ventures,holiday season,920488
Vanilla Sky,Paramount Pictures,holiday season,171415734
Vantage Point,Sony Pictures Entertainment (SPE),winter,102618154
Varsity Blues,Paramount Pictures,winter,96267387
Vegas Vacation,Warner Bros.,winter,68432676
Venom,Sony Pictures Entertainment (SPE),fall,258107997
Venom: Let There Be Carnage,Sony Pictures Entertainment (SPE),fall,242374301
Vertical Limit,Sony Pictures Entertainment (SPE),holiday season,88207684
Vice,Annapurna Pictures,holiday season,33391536
Vice Squad,Embassy Pictures,winter,42013858
Vice Versa,Columbia Pictures,spring,35389915
Victor/Victoria,Metro-Goldwyn-Mayer (MGM),spring,89442986
Victoria & Abdul,Focus Features,fall,27346940
Violent Night,Universal Pictures,holiday season,49585157
Virtuosity,Paramount Pictures,summer,47854873
Vision Quest,Warner Bros.,winter,36900617
Visiting Hours,Twentieth Century Fox,summer,42029983
Volcano,Twentieth Century Fox,spring,92728119
Volunteers,TriStar Pictures,summer,56447101
Voyagers,Lionsgate,spring,3590925
